X1,siteID,year,month,Season,pH,conductance,latitude,longitude
1,BIGC,2018,6,Summer,7.23263716,116906.8721,37.059719,-119.257549
2,BIGC,2018,9,Fall,7.261140421,245.9915514,37.059719,-119.257549
3,BLDE,2018,9,Fall,8.023960972,111.7682142,44.95011,-110.58715
4,BLDE,2019,4,Spring,7.889191016,92.7990009,44.95011,-110.58715
5,BLDE,2019,8,Summer,7.957692103,100.9882784,44.95011,-110.58715
6,BLDE,2019,9,Fall,7.904124636,107.1646119,44.95011,-110.58715
7,CARI,2018,7,Summer,4.83821407,275.987616,65.153224,-147.503973
8,CARI,2019,7,Summer,7.3395,96.26442629,65.153224,-147.503973
9,CARI,2018,9,Fall,-4.060173584,62.80487303,65.153224,-147.503973
10,COMO,2017,9,Fall,7.020328427,33.60604709,40.034962,-105.544164
11,COMO,2018,3,Spring,6.568437111,38.94808027,40.034962,-105.544164
12,COMO,2018,6,Summer,6.309751185,16.23203924,40.034962,-105.544164
13,COMO,2018,9,Fall,7.01901528,36.09483222,40.034962,-105.544164
14,COMO,2019,3,Spring,7.068128445,37.32622778,40.034962,-105.544164
15,COMO,2019,6,Summer,6.580869661,13.69786794,40.034962,-105.544164
16,COMO,2019,9,Fall,7.288989918,33.70546891,40.034962,-105.544164
17,KING,2017,9,Fall,7.532284483,156.5880923,39.105061,-96.603829
18,KING,2019,4,Spring,7.986743488,604.0697302,39.105061,-96.603829
19,KING,2019,10,Fall,7.586119614,644.4291743,39.105061,-96.603829
20,LECO,2017,5,Spring,6.422481705,17.58476917,35.690428,-83.50379
21,LECO,2018,3,Spring,6.451400813,25.10131955,35.690428,-83.50379
22,LECO,2018,6,Summer,30.46165414,19.10804674,35.690428,-83.50379
23,LECO,2019,3,Spring,6.699861436,16.97085609,35.690428,-83.50379
24,LECO,2019,6,Summer,6.723076923,19.10636618,35.690428,-83.50379
25,LECO,2019,9,Fall,6.726279463,23.20083492,35.690428,-83.50379
26,MART,2018,6,Summer,7.194921947,18.81068528,45.790835,-121.933788
27,MART,2019,6,Summer,7.241160658,37.28700721,45.790835,-121.933788
28,MART,2018,3,Spring,7.069898251,30.25626405,45.790835,-121.933788
29,MART,2019,3,Spring,6.992072145,32.58462399,45.790835,-121.933788
30,MART,2018,9,Fall,6.970962218,37.50787037,45.790835,-121.933788
31,MART,2019,9,Fall,7.128616384,40.32749714,45.790835,-121.933788
32,MAYF,2017,3,Spring,5.644308114,14.77834891,32.960365,-87.407688
33,MAYF,2017,9,Fall,5.674225669,13.16705884,32.960365,-87.407688
34,MAYF,2018,3,Spring,5.510106666,12.37924146,32.960365,-87.407688
35,MAYF,2018,6,Summer,5.429096839,12.34261955,32.960365,-87.407688
36,MAYF,2018,9,Fall,5.671595899,13.26723796,32.960365,-87.407688
37,MAYF,2019,3,Spring,5.529197014,15.24739781,32.960365,-87.407688
38,MAYF,2019,6,Summer,5.693192942,12.37092546,32.960365,-87.407688
39,MAYF,2019,9,Fall,5.744815814,12.57630775,32.960365,-87.407688
40,MCDI,2018,3,Spring,7.875166178,593.6960976,38.945861,-96.443022
41,MCDI,2018,6,Summer,11.77666082,428.1299558,38.945861,-96.443022
42,MCDI,2018,10,Fall,7.75613764,468.6198572,38.945861,-96.443022
43,MCDI,2019,3,Spring,8.035111723,473.1682739,38.945861,-96.443022
44,MCDI,2019,8,Summer,7.845324633,433.1822008,38.945861,-96.443022
45,MCDI,2019,9,Fall,7.828087682,485.9316061,38.945861,-96.443022
46,MCRA,2018,6,Summer,7.160939557,23.56074189,44.259598,-122.165554
47,MCRA,2019,6,Summer,7.194327997,23.54918487,44.259598,-122.165554
48,MCRA,2018,3,Spring,7.1383406,21.70845105,44.259598,-122.165554
49,MCRA,2019,3,Spring,7.30601006,23.47766844,44.259598,-122.165554
50,MCRA,2017,11,Fall,6.914499111,20.52573867,44.259598,-122.165554
51,MCRA,2018,9,Fall,7.245927555,28.73392844,44.259598,-122.165554
52,MCRA,2019,9,Fall,7.141309813,27.11803375,44.259598,-122.165554
53,POSE,2017,9,Fall,7.596083333,70.64575,38.89431,-78.147258
54,POSE,2018,3,Spring,7.534768223,101.1331704,38.89431,-78.147258
55,POSE,2018,6,Summer,7.236885735,96.93792213,38.89431,-78.147258
56,POSE,2018,9,Fall,7.604429878,108.2614236,38.89431,-78.147258
57,POSE,2019,3,Spring,7.52316449,92.39726076,38.89431,-78.147258
58,POSE,2019,6,Summer,7.630023023,80.97524736,38.89431,-78.147258
59,POSE,2019,9,Fall,7.770583886,83.1214735,38.89431,-78.147258
60,PRIN,2017,9,Fall,7.499649607,120983.7327,33.378517,-97.782312
61,PRIN,2018,3,Spring,-0.821813196,889.9220657,33.378517,-97.782312
62,PRIN,2018,6,Summer,7.459023585,489.8095473,33.378517,-97.782312
63,PRIN,2018,9,Fall,7.779010758,1066.019151,33.378517,-97.782312
64,PRIN,2019,3,Spring,7.932327959,804.1002204,33.378517,-97.782312
65,PRIN,2019,6,Summer,7.857023681,839.5236962,33.378517,-97.782312
66,PRIN,2019,9,Fall,7.69255081,812.6491664,33.378517,-97.782312
67,REDB,2019,4,Spring,8.453962645,290.2853992,40.783934,-111.797887
68,REDB,2018,7,Summer,8.296362476,922.7172318,40.783934,-111.797887
69,REDB,2019,6,Summer,8.063046143,532.7675276,40.783934,-111.797887
70,REDB,2018,9,Fall,8.237046108,657.6937784,40.783934,-111.797887
71,REDB,2019,9,Fall,8.450766974,605.7120505,40.783934,-111.797887
72,SYCA,2019,6,Summer,7.400157366,496.4224719,33.750993,-111.508091
73,SYCA,2019,3,Spring,-98.84363025,224.2510005,33.750993,-111.508091
74,SYCA,2019,9,Fall,7.178957071,511.1131917,33.750993,-111.508091
75,TECR,2019,10,Fall,7.410386267,30.97858633,NA,NA
76,WLOU,2018,4,Spring,7.981215241,115.4263115,39.891366,-105.915395
77,WLOU,2018,6,Summer,7.893832056,73.61552774,39.891366,-105.915395
78,WLOU,2018,10,Fall,7.525626129,109.5018653,39.891366,-105.915395
79,WLOU,2019,10,Fall,7.762781352,32.11175127,39.891366,-105.915395
