siteID,year,month,mean_canopy,fraction_buildings,fraction_roads,fraction_parklawn,fraction_agriculture,fraction_industry,latitude,longitude
POSE,2017,5,86.66333333333333,0,0.275,0,0,0.025,38.89431,-78.147258
POSE,2018,5,92.54333333333334,0,0.3,0,0,0,38.89431,-78.147258
POSE,2019,5,87.65,0,0.45,0.05,0,0.1,38.89431,-78.147258
COMO,2017,8,84.50833333333334,0,0,0,0,0,40.034962,-105.544164
COMO,2018,8,83.52666666666667,0,0,0,0,0,40.034962,-105.544164
COMO,2019,8,79.21666666666667,0,0,0,0,0,40.034962,-105.544164
LECO,2017,8,88.33,0.05,0,0,0,0,35.690428,-83.50379
LECO,2018,8,87.27540983606558,0.1,0.15,0.15,0,0,35.690428,-83.50379
LECO,2019,9,85.88166666666666,0.05,0.1,0.1,0,0,35.690428,-83.50379
MAYF,2017,8,86.66416666666666,0,0,0,0,0.05,32.960365,-87.407688
MAYF,2018,8,74.715,0,0,0,0,0,32.960365,-87.407688
MAYF,2019,8,87.545,0,0,0,0,0,32.960365,-87.407688
KING,2017,6,81.27333333333333,0,0,0,0,0.2,39.105061,-96.603829
KING,2018,6,78.52833333333334,0,0,0,0,0.05,39.105061,-96.603829
KING,2019,6,89.31,0,0.05,0,0,0.2,39.105061,-96.603829
PRIN,2017,4,62.94166666666666,0,0,0,0,0.05,33.378517,-97.782312
PRIN,2018,4,61.568333333333335,0,0,0,0,0.05,33.378517,-97.782312
PRIN,2019,4,71.96,0,0,0,0,0,33.378517,-97.782312
BLDE,2018,6,35.98166666666667,0,0,0,0,0,44.95011,-110.58715
BLDE,2019,6,40.59,0,0,0,0,0,44.95011,-110.58715
MCDI,2017,6,57.64666666666667,0,0,0,0.4,0.2,38.945861,-96.443022
MCDI,2018,6,80.77666666666667,0.1,0,0,0.6,0,38.945861,-96.443022
MCDI,2019,6,72.35666666666667,0,0,0,0.8,0.4,38.945861,-96.443022
WLOU,2017,7,82.45333333,0,0.35,0,0,0,39.891366,-105.915395
WLOU,2018,6,77.64333333,0,0.2,0,0,0,39.891366,-105.915395
WLOU,2019,9,69.71166667,0,0.2,0,0,0,39.891366,-105.915395
SYCA,2018,3,48.82833333,0,0,0,0.1,0,33.750993,-111.508091
SYCA,2019,4,46.85666667,0,0,0,0.15,0,33.750993,-111.508091
REDB,2017,7,85.43666667,0,0.25,0,0,0,40.783934,-111.797887
REDB,2018,7,83.92166667,0,0.25,0,0,0,40.783934,-111.797887
REDB,2019,7,88.63,0,0.2,0,0,0,40.783934,-111.797887
MART,2018,6,81.37333333,0,0,0,0,0,45.790835,-121.933788
MART,2019,6,81.37833333,0,0,0,0,0,45.790835,-121.933788
MCRA,2017,8,84.99416667,0,0,0,0,0,44.259598,-122.165554
MCRA,2018,6,91.66166667,0,0,0,0,0,44.259598,-122.165554
MCRA,2019,6,84.41333333,0,0,0,0,0,44.259598,-122.165554
BIGC,2018,7,77.65,0,0,0,0,0,37.059719,-119.257549
CARI,2017,7,66.81583333,0,0,0,0,0,65.153224,-147.503973
CARI,2018,8,51.95416667,0,0,0,0,0,65.153224,-147.503973
CARI,2019,6,65.385,0,0,0,0,0,65.153224,-147.503973
